code,description
A88,"Oth viral infections of central nervous system, NEC"
A92,Other mosquito-borne viral fevers
A923,West Nile virus infection
A93,"Other arthropod-borne viral fevers, not elsewhere classified"
A95,Yellow fever
A96,Arenaviral hemorrhagic fever
A98,"Other viral hemorrhagic fevers, not elsewhere classified"
B00,Herpesviral [herpes simplex] infections
B005,Herpesviral ocular disease
B008,Other forms of herpesviral infections
B01,Varicella [chickenpox]
B011,"Varicella encephalitis, myelitis and encephalomyelitis"
B018,Varicella with other complications
B02,Zoster [herpes zoster]
B022,Zoster with other nervous system involvement
B023,Zoster ocular disease
B05,Measles
B058,Measles with other complications
B06,Rubella [German measles]
B060,Rubella with neurological complications
B068,Rubella with other complications
B07,Viral warts
B08,"Oth viral infect with skin and mucous membrane lesions, NEC"
B080,Other orthopoxvirus infections
B0801,Cowpox and vaccinia not from vaccine
B082,Exanthema subitum [sixth disease]
B086,Parapoxvirus infections
B087,Yatapoxvirus infections
B10,Other human herpesviruses
B100,Other human herpesvirus encephalitis
B108,Other human herpesvirus infection
B15,Acute hepatitis A
B16,Acute hepatitis B
B17,Other acute viral hepatitis
B171,Acute hepatitis C
B18,Chronic viral hepatitis
B19,Unspecified viral hepatitis
B191,Unspecified viral hepatitis B
B192,Unspecified viral hepatitis C
B25,Cytomegaloviral disease
B26,Mumps
B268,Mumps with other complications
B27,Infectious mononucleosis
B270,Gammaherpesviral mononucleosis
B271,Cytomegaloviral mononucleosis
B278,Other infectious mononucleosis
B279,"Infectious mononucleosis, unspecified"
B30,Viral conjunctivitis
B33,"Other viral diseases, not elsewhere classified"
B332,Viral carditis
B34,Viral infection of unspecified site
B35,Dermatophytosis
B36,Other superficial mycoses
B37,Candidiasis
B373,Candidiasis of vulva and vagina
B374,Candidiasis of other urogenital sites
B378,Candidiasis of other sites
B38,Coccidioidomycosis
B388,Other forms of coccidioidomycosis
B39,Histoplasmosis
B40,Blastomycosis
B408,Other forms of blastomycosis
B41,Paracoccidioidomycosis
B42,Sporotrichosis
B428,Other forms of sporotrichosis
B43,Chromomycosis and pheomycotic abscess
B44,Aspergillosis
B448,Other forms of aspergillosis
B45,Cryptococcosis
B46,Zygomycosis
B47,Mycetoma
B48,"Other mycoses, not elsewhere classified"
B50,Plasmodium falciparum malaria
B51,Plasmodium vivax malaria
B52,Plasmodium malariae malaria
B53,Other specified malaria
B55,Leishmaniasis
B56,African trypanosomiasis
B57,Chagas' disease
B573,Chagas' disease (chronic) with digestive system involvement
B574,Chagas' disease (chronic) with nervous system involvement
B58,Toxoplasmosis
B580,Toxoplasma oculopathy
B588,Toxoplasmosis with other organ involvement
B60,"Other protozoal diseases, not elsewhere classified"
B600,Babesiosis
B601,Acanthamebiasis
B65,Schistosomiasis [bilharziasis]
B66,Other fluke infections
B67,Echinococcosis
B673,"Echinococcus granulosus infection, other and multiple sites"
B676,"Echinococcus multilocularis infct, oth and multiple sites"
B679,"Echinococcosis, other and unspecified"
B68,Taeniasis
B69,Cysticercosis
B698,Cysticercosis of other sites
B70,Diphyllobothriasis and sparganosis
B71,Other cestode infections
B73,Onchocerciasis
B730,Onchocerciasis with eye disease
B74,Filariasis
B76,Hookworm diseases
B77,Ascariasis
B778,Ascariasis with other complications
B78,Strongyloidiasis
B81,"Other intestinal helminthiases, not elsewhere classified"
B82,Unspecified intestinal parasitism
B83,Other helminthiases
B85,Pediculosis and phthiriasis
B87,Myiasis
B878,Myiasis of other sites
B88,Other infestations
B90,Sequelae of tuberculosis
B94,Sequelae of other and unsp infectious and parasitic diseases
B95,Strep as the cause of diseases classified elsewhere
B956,Staphylococcus aureus as the cause of diseases classd elswhr
B96,Oth bacterial agents as the cause of diseases classd elswhr
B962,Escherichia coli as the cause of diseases classd elswhr
B968,Oth bacterial agents as the cause of diseases classd elswhr
B97,Viral agents as the cause of diseases classified elsewhere
B971,Enterovirus as the cause of diseases classified elsewhere
B972,Coronavirus as the cause of diseases classified elsewhere
B973,Retrovirus as the cause of diseases classified elsewhere
B978,Oth viral agents as the cause of diseases classd elswhr
B99,Other and unspecified infectious diseases
C00,Malignant neoplasm of lip
C02,Malignant neoplasm of other and unspecified parts of tongue
C03,Malignant neoplasm of gum
C04,Malignant neoplasm of floor of mouth
C05,Malignant neoplasm of palate
C06,Malignant neoplasm of other and unspecified parts of mouth
C068,Malignant neoplasm of ovrlp sites of and unsp parts of mouth
C08,Malignant neoplasm of other and unsp major salivary glands
C09,Malignant neoplasm of tonsil
C10,Malignant neoplasm of oropharynx
C11,Malignant neoplasm of nasopharynx
C13,Malignant neoplasm of hypopharynx
C14,"Malig neoplasm of sites in the lip, oral cavity and pharynx"
C15,Malignant neoplasm of esophagus
C16,Malignant neoplasm of stomach
C17,Malignant neoplasm of small intestine
C18,Malignant neoplasm of colon
C21,Malignant neoplasm of anus and anal canal
C22,Malignant neoplasm of liver and intrahepatic bile ducts
C24,Malignant neoplasm of other and unsp parts of biliary tract
C25,Malignant neoplasm of pancreas
C26,Malignant neoplasm of other and ill-defined digestive organs
C30,Malignant neoplasm of nasal cavity and middle ear
C31,Malignant neoplasm of accessory sinuses
C32,Malignant neoplasm of larynx
C34,Malignant neoplasm of bronchus and lung
C340,Malignant neoplasm of main bronchus
C341,"Malignant neoplasm of upper lobe, bronchus or lung"
C343,"Malignant neoplasm of lower lobe, bronchus or lung"
C348,Malignant neoplasm of overlapping sites of bronchus and lung
C349,Malignant neoplasm of unspecified part of bronchus or lung
C38,"Malignant neoplasm of heart, mediastinum and pleura"
C39,Malig neoplm of sites in the resp sys and intrathorac organs
C40,Malignant neoplasm of bone and articular cartilage of limbs
C400,Malignant neoplasm of scapula and long bones of upper limb
C401,Malignant neoplasm of short bones of upper limb
C402,Malignant neoplasm of long bones of lower limb
C403,Malignant neoplasm of short bones of lower limb
C408,Malig neoplasm of ovrlp sites of bone/artic cartl of limb
C409,Malignant neoplasm of unsp bones and artic cartilage of limb
C41,Malignant neoplasm of bone/artic cartl of and unsp sites
C43,Malignant melanoma of skin
C431,"Malignant melanoma of eyelid, including canthus"
C4311,"Malignant melanoma of right eyelid, including canthus"
C4312,"Malignant melanoma of left eyelid, including canthus"
C432,Malignant melanoma of ear and external auricular canal
C433,Malignant melanoma of other and unspecified parts of face
C435,Malignant melanoma of trunk
C436,"Malignant melanoma of upper limb, including shoulder"
C437,"Malignant melanoma of lower limb, including hip"
C4A,Merkel cell carcinoma
C4A1,"Merkel cell carcinoma of eyelid, including canthus"
C4A11,"Merkel cell carcinoma of right eyelid, including canthus"
C4A12,"Merkel cell carcinoma of left eyelid, including canthus"
C4A2,Merkel cell carcinoma of ear and external auricular canal
C4A3,Merkel cell carcinoma of other and unspecified parts of face
C4A5,Merkel cell carcinoma of trunk
C4A6,"Merkel cell carcinoma of upper limb, including shoulder"
C4A7,"Merkel cell carcinoma of lower limb, including hip"
C44,Other and unspecified malignant neoplasm of skin
C440,Other and unspecified malignant neoplasm of skin of lip
C441,"Oth and unsp malignant neoplasm skin/ eyelid, inc canthus"
C4410,"Unsp malignant neoplasm of skin of eyelid, including canthus"
C44102,"Unsp malignant neoplasm skin/ right eyelid, inc canthus"
C44109,"Unsp malignant neoplasm skin/ left eyelid, including canthus"
C4411,"Basal cell carcinoma of skin of eyelid, including canthus"
C44112,"Basal cell carcinoma skin/ right eyelid, including canthus"
C44119,"Basal cell carcinoma skin/ left eyelid, including canthus"
C4412,"Squamous cell carcinoma of skin of eyelid, including canthus"
C44122,"Squamous cell carcinoma skin/ right eyelid, inc canthus"
C44129,"Squamous cell carcinoma skin/ left eyelid, including canthus"
C4413,"Sebaceous cell carcinoma skin/ eyelid, including canthus"
C44132,"Sebaceous cell carcinoma skin/ right eyelid, inc canthus"
C44139,"Sebaceous cell carcinoma skin/ left eyelid, inc canthus"
C4419,"Oth malignant neoplasm of skin of eyelid, including canthus"
C44192,"Oth malignant neoplasm skin/ right eyelid, including canthus"
C44199,"Oth malignant neoplasm skin/ left eyelid, including canthus"
C442,Oth and unsp malig neoplasm skin/ ear and extrn auric canal
C4420,Unsp malignant neoplasm skin/ ear and external auric canal
C4421,Basal cell carcinoma skin/ ear and external auricular canal
C4422,Squamous cell carcinoma skin/ ear and external auric canal
C4429,Oth malignant neoplasm skin/ ear and external auric canal
C443,Oth and unsp malignant neoplasm skin/ and unsp parts of face
C4430,Unsp malignant neoplasm of skin of and unsp parts of face
C4431,Basal cell carcinoma of skin of other and unsp parts of face
C4432,Squamous cell carcinoma of skin of and unsp parts of face
C4439,Oth malignant neoplasm of skin of oth and unsp parts of face
C444,Other and unsp malignant neoplasm of skin of scalp and neck
C445,Other and unspecified malignant neoplasm of skin of trunk
C4450,Unspecified malignant neoplasm of skin of trunk
C4451,Basal cell carcinoma of skin of trunk
C4452,Squamous cell carcinoma of skin of trunk
C4459,Other specified malignant neoplasm of skin of trunk
C446,"Oth and unsp malig neoplasm skin/ upper limb, inc shoulder"
C4460,"Unsp malignant neoplasm skin/ upper limb, including shoulder"
C4461,"Basal cell carcinoma skin/ upper limb, including shoulder"
C4462,"Squamous cell carcinoma skin/ upper limb, including shoulder"
C4469,"Oth malignant neoplasm skin/ upper limb, including shoulder"
C447,"Oth and unsp malignant neoplasm skin/ lower limb, inc hip"
C4470,"Unsp malignant neoplasm of skin of lower limb, including hip"
C4471,"Basal cell carcinoma of skin of lower limb, including hip"
C4472,"Squamous cell carcinoma of skin of lower limb, including hip"
C4479,"Oth malignant neoplasm of skin of lower limb, including hip"
C448,Oth and unsp malignant neoplasm of overlapping sites of skin
C449,"Other and unsp malignant neoplasm of skin, unspecified"
C45,Mesothelioma
C46,Kaposi's sarcoma
C465,Kaposi's sarcoma of lung
C47,Malignant neoplasm of prph nerves and autonomic nervous sys
C471,"Malig neoplasm of prph nerves of upper limb, inc shoulder"
C472,"Malignant neoplasm of prph nerves of lower limb, inc hip"
C48,Malignant neoplasm of retroperitoneum and peritoneum
C49,Malignant neoplasm of other connective and soft tissue
C491,"Malig neoplm of conn and soft tiss of upper limb, inc shldr"
C492,"Malig neoplm of conn and soft tissue of lower limb, inc hip"
C49A,Gastrointestinal stromal tumor
C50,Malignant neoplasm of breast
C500,Malignant neoplasm of nipple and areola
C5001,"Malignant neoplasm of nipple and areola, female"
C5002,"Malignant neoplasm of nipple and areola, male"
C501,Malignant neoplasm of central portion of breast
C5011,"Malignant neoplasm of central portion of breast, female"
C5012,"Malignant neoplasm of central portion of breast, male"
C502,Malignant neoplasm of upper-inner quadrant of breast
C5021,"Malignant neoplasm of upper-inner quadrant of breast, female"
C5022,"Malignant neoplasm of upper-inner quadrant of breast, male"
C503,Malignant neoplasm of lower-inner quadrant of breast
C5031,"Malignant neoplasm of lower-inner quadrant of breast, female"
C5032,"Malignant neoplasm of lower-inner quadrant of breast, male"
C504,Malignant neoplasm of upper-outer quadrant of breast
C5041,"Malignant neoplasm of upper-outer quadrant of breast, female"
C5042,"Malignant neoplasm of upper-outer quadrant of breast, male"
C505,Malignant neoplasm of lower-outer quadrant of breast
C5051,"Malignant neoplasm of lower-outer quadrant of breast, female"
C5052,"Malignant neoplasm of lower-outer quadrant of breast, male"
C506,Malignant neoplasm of axillary tail of breast
C5061,"Malignant neoplasm of axillary tail of breast, female"
C5062,"Malignant neoplasm of axillary tail of breast, male"
C508,Malignant neoplasm of overlapping sites of breast
C5081,"Malignant neoplasm of overlapping sites of breast, female"
C5082,"Malignant neoplasm of overlapping sites of breast, male"
C509,Malignant neoplasm of breast of unspecified site
C5091,"Malignant neoplasm of breast of unspecified site, female"
C5092,"Malignant neoplasm of breast of unspecified site, male"
C51,Malignant neoplasm of vulva
C53,Malignant neoplasm of cervix uteri
C54,Malignant neoplasm of corpus uteri
C56,Malignant neoplasm of ovary
C57,Malignant neoplasm of other and unsp female genital organs
C570,Malignant neoplasm of fallopian tube
C571,Malignant neoplasm of broad ligament
C572,Malignant neoplasm of round ligament
C60,Malignant neoplasm of penis
C62,Malignant neoplasm of testis
C620,Malignant neoplasm of undescended testis
C621,Malignant neoplasm of descended testis
C629,"Malignant neoplasm of testis, unsp descended or undescended"
C63,Malignant neoplasm of other and unsp male genital organs
C630,Malignant neoplasm of epididymis
C631,Malignant neoplasm of spermatic cord
C64,"Malignant neoplasm of kidney, except renal pelvis"
C65,Malignant neoplasm of renal pelvis
C66,Malignant neoplasm of ureter
C67,Malignant neoplasm of bladder
C68,Malignant neoplasm of other and unspecified urinary organs
C69,Malignant neoplasm of eye and adnexa
C690,Malignant neoplasm of conjunctiva
C691,Malignant neoplasm of cornea
C692,Malignant neoplasm of retina
C693,Malignant neoplasm of choroid
C694,Malignant neoplasm of ciliary body
C695,Malignant neoplasm of lacrimal gland and duct
C696,Malignant neoplasm of orbit
C698,Malignant neoplasm of overlapping sites of eye and adnexa
C699,Malignant neoplasm of unspecified site of eye
C70,Malignant neoplasm of meninges
C71,Malignant neoplasm of brain
C72,"Malig neoplm of spinal cord, cranial nerves and oth prt cnsl"
C722,Malignant neoplasm of olfactory nerve
C723,Malignant neoplasm of optic nerve
C724,Malignant neoplasm of acoustic nerve
C725,Malignant neoplasm of other and unspecified cranial nerves
C74,Malignant neoplasm of adrenal gland
C740,Malignant neoplasm of cortex of adrenal gland
C741,Malignant neoplasm of medulla of adrenal gland
C749,Malignant neoplasm of unspecified part of adrenal gland
C75,Malignant neoplasm of endo glands and related structures
C7A,Malignant neuroendocrine tumors
C7A0,Malignant carcinoid tumors
C7A01,Malignant carcinoid tumors of the small intestine
C7A02,"Malig carcinoid tumors of the appendix, lg int, and rectum"
C7A09,Malignant carcinoid tumors of other sites
C7B,Secondary neuroendocrine tumors
C7B0,Secondary carcinoid tumors
C76,Malignant neoplasm of other and ill-defined sites
C764,Malignant neoplasm of upper limb
C765,Malignant neoplasm of lower limb
C77,Secondary and unspecified malignant neoplasm of lymph nodes
C78,Secondary malignant neoplasm of resp and digestive organs
C780,Secondary malignant neoplasm of lung
C783,Secondary malignant neoplasm of and unsp respiratory organs
C788,Secondary malignant neoplasm of and unsp digestive organs
C79,Secondary malignant neoplasm of other and unspecified sites
C790,Secondary malignant neoplasm of kidney and renal pelvis
C791,Sec malig neoplm of bladder and oth and unsp urinary organs
C793,Secondary malignant neoplasm of brain and cerebral meninges
C794,Secondary malig neoplasm of and unsp parts of nervous sys
C795,Secondary malignant neoplasm of bone and bone marrow
C796,Secondary malignant neoplasm of ovary
C797,Secondary malignant neoplasm of adrenal gland
C798,Secondary malignant neoplasm of other specified sites
C80,Malignant neoplasm without specification of site
C81,Hodgkin lymphoma
C810,Nodular lymphocyte predominant Hodgkin lymphoma
C811,Nodular sclerosis Hodgkin lymphoma
C812,Mixed cellularity Hodgkin lymphoma
C813,Lymphocyte depleted Hodgkin lymphoma
C814,Lymphocyte-rich Hodgkin lymphoma
C817,Other Hodgkin lymphoma
C819,"Hodgkin lymphoma, unspecified"
C82,Follicular lymphoma
C820,Follicular lymphoma grade I
C821,Follicular lymphoma grade II
C822,"Follicular lymphoma grade III, unspecified"
C823,Follicular lymphoma grade IIIa
C824,Follicular lymphoma grade IIIb
C825,Diffuse follicle center lymphoma
C826,Cutaneous follicle center lymphoma
C828,Other types of follicular lymphoma
C829,"Follicular lymphoma, unspecified"
C83,Non-follicular lymphoma
C830,Small cell B-cell lymphoma
C831,Mantle cell lymphoma
C833,Diffuse large B-cell lymphoma
C8339,"Diffuse large B-cell lymphoma, extrnod and solid organ sites"
C835,Lymphoblastic (diffuse) lymphoma
C837,Burkitt lymphoma
C838,Other non-follicular lymphoma
C839,"Non-follicular (diffuse) lymphoma, unspecified"
C84,Mature T/NK-cell lymphomas
C840,Mycosis fungoides
C841,Sezary disease
C844,"Peripheral T-cell lymphoma, not elsewhere classified"
C846,"Anaplastic large cell lymphoma, ALK-positive"
C847,"Anaplastic large cell lymphoma, ALK-negative"
C84A,"Cutaneous T-cell lymphoma, unspecified"
C84Z,Other mature T/NK-cell lymphomas
C849,"Mature T/NK-cell lymphomas, unspecified"
C85,Oth and unspecified types of non-Hodgkin lymphoma
C851,Unspecified B-cell lymphoma
C852,Mediastinal (thymic) large B-cell lymphoma
C858,Other specified types of non-Hodgkin lymphoma
C859,"Non-Hodgkin lymphoma, unspecified"
C86,Other specified types of T/NK-cell lymphoma
C860,"Extranodal NK/T-cell lymphoma, nasal type"
C861,Hepatosplenic T-cell lymphoma
C862,Enteropathy-type (intestinal) T-cell lymphoma
C863,Subcutaneous panniculitis-like T-cell lymphoma
C864,Blastic NK-cell lymphoma
C865,Angioimmunoblastic T-cell lymphoma
C866,Primary cutaneous CD30-positive T-cell proliferations
C88,Malig immunoproliferative dis and certain oth B-cell lymph
C880,Waldenstrom macroglobulinemia
C882,Heavy chain disease
C883,Immunoproliferative small intestinal disease
C884,Extrnod mrgnl zn B-cell lymph of mucosa-assoc lymphoid tiss
C888,Other malignant immunoproliferative diseases
C889,"Malignant immunoproliferative disease, unspecified"
C90,Multiple myeloma and malignant plasma cell neoplasms
C900,Multiple myeloma
C901,Plasma cell leukemia
C902,Extramedullary plasmacytoma
C903,Solitary plasmacytoma
C91,Lymphoid leukemia
C910,Acute lymphoblastic leukemia [ALL]
C911,Chronic lymphocytic leukemia of B-cell type
C913,Prolymphocytic leukemia of B-cell type
C914,Hairy cell leukemia
C915,Adult T-cell lymphoma/leukemia (HTLV-1-associated)
C916,Prolymphocytic leukemia of T-cell type
C91A,Mature B-cell leukemia Burkitt-type
C91Z,Other lymphoid leukemia
C919,"Lymphoid leukemia, unspecified"
C92,Myeloid leukemia
C920,Acute myeloblastic leukemia
C921,"Chronic myeloid leukemia, BCR/ABL-positive"
C922,"Atypical chronic myeloid leukemia, BCR/ABL-negative"
C923,Myeloid sarcoma
C924,Acute promyelocytic leukemia
C925,Acute myelomonocytic leukemia
C926,Acute myeloid leukemia with 11q23-abnormality
C92A,Acute myeloid leukemia with multilineage dysplasia
C92Z,Other myeloid leukemia
C929,"Myeloid leukemia, unspecified"
C93,Monocytic leukemia
C930,Acute monoblastic/monocytic leukemia
C931,Chronic myelomonocytic leukemia
C933,Juvenile myelomonocytic leukemia
C93Z,Other monocytic leukemia
C939,"Monocytic leukemia, unspecified"
C94,Other leukemias of specified cell type
C940,Acute erythroid leukemia
C942,Acute megakaryoblastic leukemia
C943,Mast cell leukemia
C944,Acute panmyelosis with myelofibrosis
C948,Other specified leukemias
C95,Leukemia of unspecified cell type
C950,Acute leukemia of unspecified cell type
C951,Chronic leukemia of unspecified cell type
C959,"Leukemia, unspecified"
C96,"Oth & unsp malig neoplm of lymphoid, hematpoetc and rel tiss"
C962,Malignant mast cell neoplasm
D00,"Carcinoma in situ of oral cavity, esophagus and stomach"
D000,"Carcinoma in situ of lip, oral cavity and pharynx"
D01,Carcinoma in situ of other and unspecified digestive organs
D014,Carcinoma in situ of other and unsp parts of intestine
D02,Carcinoma in situ of middle ear and respiratory system
D022,Carcinoma in situ of bronchus and lung
D03,Melanoma in situ
D031,"Melanoma in situ of eyelid, including canthus"
D0311,"Melanoma in situ of right eyelid, including canthus"
D0312,"Melanoma in situ of left eyelid, including canthus"
D032,Melanoma in situ of ear and external auricular canal
D033,Melanoma in situ of other and unspecified parts of face
D035,Melanoma in situ of trunk
D036,"Melanoma in situ of upper limb, including shoulder"
D037,"Melanoma in situ of lower limb, including hip"
D04,Carcinoma in situ of skin
D041,"Carcinoma in situ of skin of eyelid, including canthus"
D0411,"Carcinoma in situ of skin of right eyelid, including canthus"
D0412,"Carcinoma in situ of skin of left eyelid, including canthus"
D042,Ca in situ skin of ear and external auricular canal
D043,Carcinoma in situ of skin of other and unsp parts of face
D046,"Carcinoma in situ of skin of upper limb, including shoulder"
D047,"Carcinoma in situ of skin of lower limb, including hip"
D05,Carcinoma in situ of breast
D050,Lobular carcinoma in situ of breast
D051,Intraductal carcinoma in situ of breast
D058,Other specified type of carcinoma in situ of breast
D059,Unspecified type of carcinoma in situ of breast
D06,Carcinoma in situ of cervix uteri
D07,Carcinoma in situ of other and unspecified genital organs
D073,Carcinoma in situ of other and unsp female genital organs
D076,Carcinoma in situ of other and unsp male genital organs
D09,Carcinoma in situ of other and unspecified sites
D091,Carcinoma in situ of other and unspecified urinary organs
D092,Carcinoma in situ of eye
D10,Benign neoplasm of mouth and pharynx
D103,Benign neoplasm of other and unspecified parts of mouth
D11,Benign neoplasm of major salivary glands
D12,"Benign neoplasm of colon, rectum, anus and anal canal"
D13,Benign neoplasm of and ill-defined parts of digestive system
D133,Benign neoplasm of other and unsp parts of small intestine
D139,Benign neoplasm of ill-defined sites within the dgstv sys
D14,Benign neoplasm of middle ear and respiratory system
D143,Benign neoplasm of bronchus and lung
D15,Benign neoplasm of other and unsp intrathoracic organs
D16,Benign neoplasm of bone and articular cartilage
D160,Benign neoplasm of scapula and long bones of upper limb
D161,Benign neoplasm of short bones of upper limb
D162,Benign neoplasm of long bones of lower limb
D163,Benign neoplasm of short bones of lower limb
D17,Benign lipomatous neoplasm
D172,"Benign lipomatous neoplasm of skin, subcu of limb"
D173,"Benign lipomatous neoplasm of skin, subcu of and unsp sites"
D177,Benign lipomatous neoplasm of other sites
D18,"Hemangioma and lymphangioma, any site"
D180,Hemangioma
D19,Benign neoplasm of mesothelial tissue
D20,Benign neoplm of soft tissue of retroperiton and peritoneum
D21,Other benign neoplasms of connective and other soft tissue
D211,"Benign neoplm of connctv/soft tiss of upper limb, inc shldr"
D212,"Benign neoplasm of connctv/soft tiss of lower limb, inc hip"
D22,Melanocytic nevi
D221,"Melanocytic nevi of eyelid, including canthus"
D2211,"Melanocytic nevi of right eyelid, including canthus"
D2212,"Melanocytic nevi of left eyelid, including canthus"
D222,Melanocytic nevi of ear and external auricular canal
D223,Melanocytic nevi of other and unspecified parts of face
D226,"Melanocytic nevi of upper limb, including shoulder"
D227,"Melanocytic nevi of lower limb, including hip"
D23,Other benign neoplasms of skin
D231,"Other benign neoplasm of skin of eyelid, including canthus"
D2311,"Oth benign neoplasm skin/ right eyelid, including canthus"
D2312,"Oth benign neoplasm skin/ left eyelid, including canthus"
D232,Oth benign neoplasm skin/ ear and external auricular canal
D233,Oth benign neoplasm of skin of other and unsp parts of face
D236,"Oth benign neoplasm skin/ upper limb, including shoulder"
D237,"Other benign neoplasm of skin of lower limb, including hip"
D24,Benign neoplasm of breast
D25,Leiomyoma of uterus
D26,Other benign neoplasms of uterus
D27,Benign neoplasm of ovary
D28,Benign neoplasm of other and unsp female genital organs
D29,Benign neoplasm of male genital organs
D292,Benign neoplasm of testis
D293,Benign neoplasm of epididymis
D30,Benign neoplasm of urinary organs
D300,Benign neoplasm of kidney
D301,Benign neoplasm of renal pelvis
D302,Benign neoplasm of ureter
D31,Benign neoplasm of eye and adnexa
D310,Benign neoplasm of conjunctiva
D311,Benign neoplasm of cornea
D312,Benign neoplasm of retina
D313,Benign neoplasm of choroid
D314,Benign neoplasm of ciliary body
D315,Benign neoplasm of lacrimal gland and duct
D316,Benign neoplasm of unspecified site of orbit
D319,Benign neoplasm of unspecified part of eye
D32,Benign neoplasm of meninges
D33,Benign neoplasm of brain and oth prt central nervous system
D35,Benign neoplasm of other and unspecified endocrine glands
D350,Benign neoplasm of adrenal gland
D36,Benign neoplasm of other and unspecified sites
D361,Benign neoplasm of prph nerves and autonomic nervous sys
D3A,Benign neuroendocrine tumors
D3A0,Benign carcinoid tumors
D3A01,Benign carcinoid tumors of the small intestine
D3A02,"Benign carcinoid tumors of the appendix, lg int, and rectum"
D3A09,Benign carcinoid tumors of other sites
D37,Neoplasm of uncrt behavior of oral cavity and dgstv organs
D370,"Neoplasm of uncrt behavior of lip, oral cavity and pharynx"
D3703,Neoplasm of uncertain behavior of the major salivary glands
D38,Neoplm of uncrt behav of mid ear & resp and intrathorac org
D39,Neoplasm of uncertain behavior of female genital organs
D391,Neoplasm of uncertain behavior of ovary
D40,Neoplasm of uncertain behavior of male genital organs
D401,Neoplasm of uncertain behavior of testis
D41,Neoplasm of uncertain behavior of urinary organs
D410,Neoplasm of uncertain behavior of kidney
D411,Neoplasm of uncertain behavior of renal pelvis
